"","Player","Pos","HT","WT","Age","Current Team", "YOS", "Pre-Draft Team", "Draft Status", "Nationality
"9","Precious Achiuwa","SF","6-8","243","26","Sacramento Kings","5","Memphis","2020 Rnd 1 Pick 20","Nigeria"
"12","Steven Adams","C","6-11","265","32","Houston Rockets","12","Pittsburgh","2013 Rnd 1 Pick 12","New Zealand"
"13","Bam Adebayo","C","6-9","255","28","Miami Heat","8","Kentucky","2017 Rnd 1 Pick 14","United States"
"30","Ochai Agbaji","SF","6-5","215","25","Toronto Raptors","3","Kansas","2022 Rnd 1 Pick 14","United States"
"7","Santi Aldama","C","7-0","215","24","Memphis Grizzlies","4","Loyola (MD)","2021 Rnd 1 Pick 30","Spain"
"23","Trey Alexander","SG","6-5","185","23","New Orleans Pelicans","1","Creighton","2024 NBA Draft, Undrafted","United States"
"7","Nickeil Alexander-Walker","SG","6-5","205","27","Atlanta Hawks","6","Virginia Tech","2019 Rnd 1 Pick 17","Canada"
"8","Grayson Allen","SG","6-3","198","30","Phoenix Suns","7","Duke","2018 Rnd 1 Pick 21","United States"
"31","Jarrett Allen","C","6-9","243","27","Cleveland Cavaliers","8","Texas","2017 Rnd 1 Pick 22","United States"
"15","Jose Alvarado","G","6-0","179","27","New Orleans Pelicans","4","Georgia Tech","2021 NBA Draft, Undrafted","United States","Puerto Rico"
"2","Kyle Anderson","PF","6-8","230","32","Utah Jazz","11","UCLA","2014 Rnd 1 Pick 30","United States","China"
"29","Alex Antetokounmpo","SF","6-8","214","24","Milwaukee Bucks","0","UCAM Murcia CB (Spain)","2021 NBA Draft, Undrafted","Greece","Nigeria"
"34","Giannis Antetokounmpo","F","6-11","243","30","Milwaukee Bucks","12","Filathlitikos Div II Greece (Greece)","2013 Rnd 1 Pick 15","Greece","Nigeria"
"43","Thanasis Antetokounmpo","SF","6-7","219","33","Milwaukee Bucks","6","Delaware 87ers","2014 Rnd 2 Pick 21","Greece","Nigeria"
"50","Cole Anthony","PG","6-2","185","25","Milwaukee Bucks","5","North Carolina","2020 Rnd 1 Pick 15","United States"
"8","OG Anunoby","SF","6-7","240","28","New York Knicks","8","Indiana","2017 Rnd 1 Pick 23","England","United States"
"8","Deni Avdija","SG","6-8","228","24","Portland Trail Blazers","5","Maccabi Tel Aviv U18 (Israel)","2020 Rnd 1 Pick 9","Israel"
"5","Deandre Ayton","C","7-0","252","27","Los Angeles Lakers","7","Arizona","2018 Rnd 1 Pick 1","Bahamas"
"35","Marvin Bagley III","PF","6-10","235","26","Washington Wizards","7","Duke","2018 Rnd 1 Pick 2","United States"
"19","Ace Bailey","SF","6-9","200","19","Utah Jazz","0","Rutgers","2025 Rnd 1 Pick 5","United States"
"1","LaMelo Ball","G","6-7","180","24","Charlotte Hornets","5","Illawarra (Australia)","2020 Rnd 1 Pick 3","United States"
"2","Lonzo Ball","PG","6-5","190","28","Cleveland Cavaliers","8","UCLA","2017 Rnd 1 Pick 2","United States"
"5","Paolo Banchero","C","6-10","250","23","Orlando Magic","3","Duke","2022 Rnd 1 Pick 1","United States","Italy"
"3","Desmond Bane","SG","6-6","215","27","Orlando Magic","5","TCU","2020 Rnd 1 Pick 30","United States"
"25","Dominick Barlow","F","6-9","215","22","Philadelphia Sixers","3","Overtime Elite (Georgia)","2022 NBA Draft, Undrafted","United States"
"40","Harrison Barnes","SF","6-7","225","33","San Antonio Spurs","13","North Carolina","2012 Rnd 1 Pick 7","United States"
"4","Scottie Barnes","SF","6-8","237","24","Toronto Raptors","4","Florida State","2021 Rnd 1 Pick 4","United States"
"23","Brooks Barnhizer","SF","6-5","230","24","Oklahoma City Thunder","0","Northwestern","2025 Rnd 2 Pick 14","United States"
"9","R.J. Barrett","SG","6-6","214","25","Toronto Raptors","6","Duke","2019 Rnd 1 Pick 3","Canada"
"7","Tamar Bates","G","6-4","195","23","Denver Nuggets","0","Missouri","2025 NBA Draft, Undrafted","United States"
"77","Jamison Battle","SF","6-7","220","24","Toronto Raptors","1","Ohio State","2024 NBA Draft, Undrafted","United States"
"33","Nicolas Batum","F","6-7","230","36","Los Angeles Clippers","17","Le Mans Sarthe Basket (France)","2008 Rnd 1 Pick 25","France"
"0","Bradley Beal","SG","6-4","207","32","Los Angeles Clippers","13","Florida","2012 Rnd 1 Pick 3","United States"
"19","Joan Beringer","C","6-11","230","19","Minnesota Timberwolves","0","Cedevita (Croatia)","2025 Rnd 1 Pick 17","France"
"41","Saddiq Bey","F","6-8","215","26","New Orleans Pelicans","5","Villanova","2020 Rnd 1 Pick 19","United States"
"35","Goga Bitadze","C","6-11","250","26","Orlando Magic","6","KK Mega Bemax (Serbia)","2019 Rnd 1 Pick 18","Georgia"
"18","Bismack Biyombo","PF","6-8","255","33","San Antonio Spurs","14","Baloncesto Fuenlabrada (Spain)","2011 Rnd 1 Pick 7","Democratic Republic of the Congo"
"0","Anthony Black","G","6-7","200","21","Orlando Magic","2","Arkansas","2023 Rnd 1 Pick 6","United States"
"10","Bogdan Bogdanovic","SG","6-5","225","33","Los Angeles Clippers","8","KK Partizan (Serbia)","2014 Rnd 1 Pick 27","Serbia"
"30","Adem Bona","C","6-10","235","22","Philadelphia Sixers","1","UCLA","2024 Rnd 2 Pick 11","Nigeria","Turkey"
"1","Devin Booker","SG","6-5","206","29","Phoenix Suns","10","Kentucky","2015 Rnd 1 Pick 13","United States"
"99","Chris Boucher","PF","6-8","200","32","Boston Celtics","8","Oregon","2017 NBA Draft, Undrafted","Saint Lucia","Canada"
"17","Jamaree Bouyea","G","6-2","180","26","Phoenix Suns","3","San Francisco","2022 NBA Draft, Undrafted","United States"
"13","Tony Bradley","C","6-10","248","27","Indiana Pacers","7","North Carolina","2017 Rnd 1 Pick 28","United States"
"8","Malaki Branham","GF","6-4","180","22","Washington Wizards","3","Ohio State","2022 Rnd 1 Pick 20","United States"
"0","Christian Braun","SF","6-6","220","24","Denver Nuggets","3","Kansas","2022 Rnd 1 Pick 21","United States"
"14","Koby Brea","GF","6-5","215","23","Phoenix Suns","0","Kentucky","2025 Rnd 2 Pick 11","United States"
"25","Mikal Bridges","SG","6-6","209","29","New York Knicks","7","Villanova","2018 Rnd 1 Pick 10","United States"
"0","Miles Bridges","SF","6-7","225","27","Charlotte Hornets","6","Michigan State","2018 Rnd 1 Pick 12","United States"
"3","Dillon Brooks","F","6-7","225","29","Phoenix Suns","8","Oregon","2017 Rnd 2 Pick 15","Canada"
"22","Johni Broome","C","6-10","235","23","Philadelphia Sixers","0","Auburn","2025 Rnd 2 Pick 5","United States"
"7","Jaylen Brown","SF","6-6","223","29","Boston Celtics","9","California","2016 Rnd 1 Pick 3","United States"
"11","Bruce Brown Jr.","SG","6-4","202","29","Denver Nuggets","7","Miami (FL)","2018 Rnd 2 Pick 12","United States"
"24","Kobe Brown","GF","6-7","250","25","Los Angeles Clippers","2","Missouri","2023 Rnd 1 Pick 30","United States"
"11","Jalen Brunson","PG","6-2","190","29","New York Knicks","7","Villanova","2018 Rnd 2 Pick 3","United States"
"11","Carter Bryant","F","6-6","220","20","San Antonio Spurs","0","Arizona","2025 Rnd 1 Pick 14","United States"
"3","Thomas Bryant","C","6-9","248","28","Cleveland Cavaliers","8","Indiana","2017 Rnd 2 Pick 12","United States"
"4","Kobe Bufkin","G","6-4","195","22","Memphis Grizzlies","2","Michigan","2023 Rnd 1 Pick 15","United States"
"10","Jimmy Butler III","GF","6-6","230","36","Golden State Warriors","14","Marquette","2011 Rnd 1 Pick 30","United States"
"14","Matas Buzelis","F","6-8","209","21","Chicago Bulls","1","NBA G League Ignite","2024 Rnd 1 Pick 11","United States","Lithuania"
"8","Jamal Cain","F","6-7","191","26","Orlando Magic","3","Oakland","2022 NBA Draft, Undrafted","United States"
"3","Kentavious Caldwell-Pope","SG","6-5","204","32","Memphis Grizzlies","12","Georgia","2013 Rnd 1 Pick 8","United States"
"33","Toumani Camara","SF","6-7","230","25","Portland Trail Blazers","2","Dayton","2023 Rnd 2 Pick 22","Belgium"
"30","Clint Capela","PF","6-10","256","31","Houston Rockets","11","Chalon-Sur-Saone (France)","2014 Rnd 1 Pick 25","Switzerland"
"32","Dylan Cardwell","PF","6-10","255","25","Sacramento Kings","0","Auburn","2025 NBA Draft, Undrafted","United States"
"15","Branden Carlson","PF","7-0","220","26","Oklahoma City Thunder","1","Utah","2024 NBA Draft, Undrafted","United States"
"7","Bub Carrington","G","6-4","190","20","Washington Wizards","1","Pittsburgh","2024 Rnd 1 Pick 14","United States"
"22","Devin Carter","G","6-2","195","23","Sacramento Kings","1","Providence","2024 Rnd 1 Pick 13","United States"
"5","Jevon Carter","PG","6-0","200","30","Chicago Bulls","7","West Virginia","2018 Rnd 2 Pick 2","United States"
"34","Wendell Carter Jr.","PF","6-10","270","26","Orlando Magic","7","Duke","2018 Rnd 1 Pick 7","United States"
"9","Alex Caruso","G","6-5","186","31","Oklahoma City Thunder","8","Texas A&M","2016 NBA Draft, Undrafted","United States"
"5","Stephon Castle","G","6-6","215","21","San Antonio Spurs","1","UConn","2024 Rnd 1 Pick 4","United States"
"14","Colin Castleton","PF","6-10","250","25","Orlando Magic","2","Florida","2023 NBA Draft, Undrafted","United States"
"30","Julian Champagnie","F","6-7","217","24","San Antonio Spurs","3","St. John's","2022 NBA Draft, Undrafted","United States"
"9","Justin Champagnie","F","6-6","206","24","Washington Wizards","4","Pittsburgh","2021 NBA Draft, Undrafted","United States"
"12","Cameron Christie","SG","6-5","190","20","Los Angeles Clippers","1","Minnesota","2024 Rnd 2 Pick 16","United States"
"00","Max Christie","F","6-5","190","22","Dallas Mavericks","3","Michigan State","2022 Rnd 2 Pick 5","United States"
"30","Moussa Cisse","F","6-11","220","23","Dallas Mavericks","0","Memphis","2025 NBA Draft, Undrafted","Guinea"
"91","Sidy Cissoko","GF","6-6","220","21","Portland Trail Blazers","2","NBA G League Ignite","2023 Rnd 2 Pick 14","France"
"22","Jaylen Clark","G","6-5","205","24","Minnesota Timberwolves","2","UCLA","2023 Rnd 2 Pick 23","United States"
"15","Brandon Clarke","PF","6-8","215","29","Memphis Grizzlies","6","Gonzaga","2019 Rnd 1 Pick 21","Canada"
"00","Jordan Clarkson","G","6-5","194","33","New York Knicks","11","Missouri","2014 Rnd 2 Pick 16","United States","Philippines"
"33","Nicolas Claxton","C","6-11","215","26","Brooklyn Nets","6","Georgia","2019 Rnd 2 Pick 1","United States","U.S. Virgin Islands"
"13","Walter Clayton Jr.","G","6-4","195","22","Utah Jazz","0","Florida","2025 Rnd 1 Pick 18","United States"
"5","Nique Clifford","F","6-5","175","23","Sacramento Kings","0","Colorado State","2025 Rnd 1 Pick 24","United States"
"23","Donovan Clingan","C","7-2","280","21","Portland Trail Blazers","1","UConn","2024 Rnd 1 Pick 7","United States"
"21","Noah Clowney","F","6-10","210","21","Brooklyn Nets","2","Alabama","2023 Rnd 1 Pick 21","United States"
"17","Amir Coffey","SF","6-7","210","28","Milwaukee Bucks","6","Minnesota","2019 NBA Draft, Undrafted","United States"
"8","Isaiah Collier","G","6-4","210","21","Utah Jazz","1","USC","2024 Rnd 1 Pick 29","United States"
"20","John Collins","PF","6-9","226","28","Los Angeles Clippers","8","Wake Forest","2017 Rnd 1 Pick 19","United States"
"12","Zach Collins","C","6-9","250","28","Chicago Bulls","8","Gonzaga","2017 Rnd 1 Pick 10","United States"
"10","Mike Conley","PG","6-1","175","38","Minnesota Timberwolves","18","Ohio State","2007 Rnd 1 Pick 4","United States"
"21","Pat Connaughton","SF","6-5","209","32","Charlotte Hornets","10","Notre Dame","2015 Rnd 2 Pick 11","United States"
"18","Javonte Cooke","G","6-6","185","26","Portland Trail Blazers","0","Winston-Salem State","2023 NBA Draft, Undrafted","United States"
"13","Sharife Cooper","PG","6-0","176","24","Washington Wizards","2","Auburn","2021 Rnd 2 Pick 18","United States"
"0","Bilal Coulibaly","GF","6-7","195","21","Washington Wizards","2","Boulogne-Levallois (France)","2023 Rnd 1 Pick 7","France"
"23","Cedric Coward","F","6-5","206","22","Memphis Grizzlies","0","Washington State","2025 Rnd 1 Pick 11","United States"
"27","Isaiah Crawford","GF","6-6","220","24","Houston Rockets","1","Louisiana Tech","2024 NBA Draft, Undrafted","United States"
"2","Cade Cunningham","SF","6-6","220","24","Detroit Pistons","4","Oklahoma State","2021 Rnd 1 Pick 1","United States"
"30","Stephen Curry","G","6-2","185","37","Golden State Warriors","16","Davidson","2009 Rnd 1 Pick 7","United States"
"23","Tristan Da Silva","F","6-8","217","24","Orlando Magic","1","Colorado","2024 Rnd 1 Pick 18","Germany","Brazil"
